date,snow_in,snow_flag
2024-11-01,0.0,False
2024-11-02,0.0,False
2024-11-03,0.0,False
2024-11-04,0.0,False
2024-11-05,0.0,False
2024-11-06,0.0,False
2024-11-07,0.55,True
2024-11-08,0.0,False
2024-11-09,0.0,False
2024-11-10,0.0,False
2024-11-11,0.46,True
2024-11-12,0.0,False
2024-11-13,0.0,False
2024-11-14,0.0,False
2024-11-15,0.8,True
2024-11-16,0.48,True
2024-11-17,0.0,False
2024-11-18,0.0,False
2024-11-19,0.0,False
2024-11-20,0.0,False
2024-11-21,0.0,False
2024-11-22,1.99,True
2024-11-23,0.0,False
2024-11-24,0.0,False
2024-11-25,0.0,False
2024-11-26,0.0,False
2024-11-27,1.59,True
2024-11-28,0.0,False
2024-11-29,0.0,False
2024-11-30,1.01,True
2024-12-01,0.0,False
2024-12-02,1.86,True
2024-12-03,3.21,True
2024-12-04,0.0,False
2024-12-05,0.0,False
2024-12-06,0.0,False
2024-12-07,2.38,True
2024-12-08,3.6,True
2024-12-09,0.0,False
2024-12-10,0.0,False
2024-12-11,2.02,True
2024-12-12,0.0,False
2024-12-13,3.19,True
2024-12-14,0.0,False
2024-12-15,3.49,True
2024-12-16,0.0,False
2024-12-17,1.01,True
2024-12-18,2.48,True
2024-12-19,0.0,False
2024-12-20,1.93,True
2024-12-21,0.0,False
2024-12-22,0.0,False
2024-12-23,0.0,False
2024-12-24,0.0,False
2024-12-25,2.4,True
2024-12-26,0.0,False
2024-12-27,1.9,True
2024-12-28,4.87,True
2024-12-29,1.26,True
2024-12-30,1.9,True
2024-12-31,4.65,True
2025-01-01,9.26,True
2025-01-02,0.0,False
2025-01-03,3.21,True
2025-01-04,1.33,True
2025-01-05,7.9,True
2025-01-06,4.01,True
2025-01-07,0.0,False
2025-01-08,8.37,True
2025-01-09,0.0,False
2025-01-10,0.0,False
2025-01-11,3.78,True
2025-01-12,3.76,True
2025-01-13,0.0,False
2025-01-14,0.52,True
2025-01-15,4.34,True
2025-01-16,0.0,False
2025-01-17,2.54,True
2025-01-18,4.94,True
2025-01-19,1.0,True
2025-01-20,0.0,False
2025-01-21,10.52,True
2025-01-22,3.29,True
2025-01-23,4.46,True
2025-01-24,2.22,True
2025-01-25,0.58,True
2025-01-26,0.0,False
2025-01-27,9.02,True
2025-01-28,0.0,False
2025-01-29,0.6,True
2025-01-30,3.91,True
2025-01-31,0.0,False
2025-02-01,0.0,False
2025-02-02,0.84,True
2025-02-03,0.0,False
2025-02-04,8.82,True
2025-02-05,0.78,True
2025-02-06,2.38,True
2025-02-07,6.91,True
2025-02-08,5.96,True
2025-02-09,2.52,True
2025-02-10,0.0,False
2025-02-11,1.94,True
2025-02-12,2.32,True
2025-02-13,0.0,False
2025-02-14,4.92,True
2025-02-15,3.3,True
2025-02-16,0.0,False
2025-02-17,1.27,True
2025-02-18,2.14,True
2025-02-19,1.05,True
2025-02-20,1.28,True
2025-02-21,0.0,False
2025-02-22,0.0,False
2025-02-23,0.0,False
2025-02-24,0.0,False
2025-02-25,0.0,False
2025-02-26,0.44,True
2025-02-27,0.0,False
2025-02-28,0.0,False
2025-03-01,0.0,False
